Description,Extension,Category,MIME type
iTunes Cover Flow Data File,.itc,Misc Files,Unknown
Advanced Installer Updates Configuration File,.aiu,Settings Files,Unknown
Lazesoft Backup Disk Image,.lvi,Disk Images,Unknown
Zipped FlipViewer FlipBook,.opz,eBook,Unknown
Qarbon Viewlet,.viewlet,Video,Unknown
GRAPH Hierarchical Data File,.graph,Text,Unknown
Squeeze Presets File,.spfx,Settings Files,Unknown
.NET Security Resolution Cache File,.cch,Misc Files,Unknown
Electronic Data Interchange File,.edi,Data Files,Unknown
Microsoft Excel Spreadsheet Template,.xltx,Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.template
Terminal Command File,.command,Executable,Unknown
Nokia Composer Ringtone,.rng,Audio,Unknown
QuarkXPress Document,.qxd,Page Layouts,application/vnd.quark.quarkxpress
Popnoggin Image File,.pni,Raster Images,Unknown
Altium Designer Script Project,.prjscr,CAD Files,Unknown
J&ASoft Code Archive File,.qualsoftcode,Backup Files,Unknown
Zoom Router Configuration File,.icf,Backup Files,application/vnd.commerce-battelle
Vertex Shader File,.vs,3D Images,Unknown
Internet Settings File,.ins,Settings Files,application/x-internet-signup
