Extension,Metadata,Category,MIME Type
.br4,BMW iDrive multimedia data,Audio,
.smf,Standard MIDI file format,Audio,application/vnd.stardivision.math
.cdg,DART Karaoke Studio lyrics,Audio,
.xwb,XACT wave bank data,Audio,
.nsmp,Nord audio keyboards sample,Audio,
.asx,Microsoft Advanced Streaming Redirector,Audio,video/x-ms-asf
.sds,MIDI sample sound (DUMP standard file),Audio,
.muk,Multak Mini 8162 encoded audio karaoke,Audio,
.sabs,Call ot Duty: Black Ops sound archive,Audio,
.10,Salt Lake Winter Olympics 2002 music data,Audio,
.svd,Roland Fantom audio,Audio,application/vnd.svd
.spx,Speex encoded audio,Audio,audio/ogg
.rip,Hit’n’Mix audio format,Audio,
.sgw,n-Track Studio packed song,Audio,
.nmsv,Native Instruments MASSIVE audio data file,Audio,
.ytif,Independence instrument file,Audio,
.stem.mp4,Native Instruments Stems audio,Audio,
.omf,Open Media Framework file,Audio,
.mmm,MAGIX Music Maker audio arrangement data,Audio,
.ang,Anghami audio,Audio,
.ksf,Korg Trinity sample file,Audio,
.msv,Sony Memory Stick compressed voice file,Audio,
.logic,Apple Logic Pro music project,Audio,
.ajp,AJP Player video,Audio,
.dlp,DirectMusic Producer DLS data,Audio,
.mgu,Band-in-a-Box MIDI song,Audio,
.16,Salt Lake Winter Olympics 2002 music data,Audio,
.oma,Sony OpenMG music format,Audio,
.kmp,Korg Trinity audio,Audio,
.record,Recorded audio data,Audio,
.xmi,Miles Sound System extended MIDI audio,Audio,
.h2song,Hydrogen drum notes,Audio,
.sdk,Roland S-550/S-50/W-30 disk image,Audio,
.azx,ZX Audio file format,Audio,
.aiff,Audio Interchange File Format,Audio,audio/aiff
.mp_,Mobile phone sound,Audio,
.mmpz,Linux MultiMedia Studio project,Audio,
.vsb,Virtual Sampler audio bank,Audio,
.svq,Roland Keyboard midi sequence file,Audio,
.m4r,Apple iPhone ringtone format,Audio,audio/mp4
.gig,GigaSampler/GigaStudio audio data,Audio,
.nsp,Computerized Speech Lab audio speech format,Audio,
.cpa,Adobe Premiere conformed audio,Audio,
.acm,ACM compressed sound,Audio,
.caf,Apple Core Audio Format,Audio,
.sf,IRCAM / MTU SoundFile format,Audio,
.sd,Entropic sound data format,Audio,
.abm,Music album,Audio,
.stem,Native Instruments Stems audio data,Audio,
.audio,Game sounds or other audio data,Audio,
.mp4a,MPEG-4 MP4A audio,Audio,audio/mp4
.gtp,Guitar Pro project,Audio,
.voc,Creative Labs sound data,Audio,
.404,Muon DS404 bank,Audio,
.rx2,ReCycle! audio loop file,Audio,
.mka,Matroska audio,Audio,audio/x-matroska
.m4p,Apple iTunes Music Store audio,Audio,audio/mp4
.xpf,Linux MultiMedia Studio instrument preset,Audio,
.rex,ReCycle audio loop,Audio,
.audionote,AudioNote data,Audio,
.dsf,Delusion/XTracker digital sample,Audio,
.dls,DownLoadable sound,Audio,
.apex,AVM Sample Studio bank file,Audio,
.fla,Audio files encoded by Flac - free lossless audio codec,Audio,
.uvn,Yamaha Tyros audio,Audio,
.aud,NICE Media Player audio,Audio,
.vag,Sony Playstation/PS2 compressed sound,Audio,
.rns,Reason audio project,Audio,
.fsc,FruityLoops score,Audio,application/vnd.fsc.weblaunch
.cmf,Creative Labs FM-synthesis music file,Audio,
.gsm,GSM sound,Audio,
.abk,Need for Speed Underground audio data,Audio,
.sfz,SoundFont compressed audio,Audio,
.aaf,Advanced Authoring Format,Audio,
.mmp,MixMeister Studio playlist,Audio,
.sgu,Band-in-a-Box midi song,Audio,
.h2p,Zebra preset,Audio,
.weba,Zoom Player WebM audio,Audio,audio/webm
.nbs,Minecraft Note Block Studio audio,Audio,
.hma,Sony MiniDisc audio file,Audio,
.fsm,Farandole Composer WaveSample music format,Audio,
.sfd,SoundStage sound data,Audio,
.ape,Monkey's Audio lossless audio compression format,Audio,
.kfn,KaraFun karaoke song,Audio,
.sabl,Call ot Duty: Black Ops audio library,Audio,
.bmu,BioWare music unit,Audio,
.cdo,Crescendo music score,Audio,
.cwp,Cakewalk Sonar audio project,Audio,
.rtttl,RTTTL / Nokring mobile ring-tone format,Audio,
.mtd,Musicnotes digital music sheet,Audio,
.hsc,HSC tracker 2-op FM music data,Audio,
.nak,Audio file,Audio,
.swa,Adobe Shockwave music data,Audio,application/x-director
.rcp,Recomposer MIDI sequencer music data,Audio,
.flp,FL studio saved track,Audio,
.logicx,Apple Logic Pro X project,Audio,
.sw,16-bit audio sound raw signed PCM data,Audio,
.krx,Karaoke Midi file,Audio,
.m4b,MPEG-4 Audio Layer audio book,Audio,audio/mp4
.itz,Impulse Tracker music module,Audio,
.g726,Raw CCITT/ITU G.726 ADPCM sound data,Audio,
.sfark,Melody Machine compressed SoundFont file,Audio,
.wrk,Cakewalk music project,Audio,
.mx6,Mixcraft 6 audio,Audio,
.ra,RealAudio audio,Audio,audio/x-pn-realaudio
.gm,Transport Tycoon game music,Audio,
.tsh,Cenix audio,Audio,
.pc,Personal Composer musical notation,Audio,
.vsq,Vocaloid audio sequence,Audio,
.ove,Overture music score,Audio,
.als,Ableton Live project,Audio,
.ngrr,GUITAR RIG sound,Audio,
.sts,ScreamTracker song format,Audio,
.mscx,MuseScore music score,Audio,
.ym,AY-3-8910 audio data,Audio,
.song,System 7 sound,Audio,
.ec3,Dolby Digital AC3 audio,Audio,
.vsqx,VOCALOID Editor project,Audio,
.brr,SNES BRR (Bit Rate Reduction) audio data,Audio,
.bvf,iRock digital voice recorder audio data,Audio,
.dmkit,Drumaxx file,Audio,
.dmpatch,Fruity Loops Studio patch,Audio,
.cdr,RAW CD-format audio,Audio,application/x-iso9660-image
.tl,OpenTL Open track list file,Audio,
.dtm,Digitrakker audio module,Audio,
.drm,Cubase Drum map setup file,Audio,
.imf,Apogee IMF audio file format,Audio,
.dva,dps Velocity split audio,Audio,
.bww,Bagpipe Music Writer music notation,Audio,
.ac3,Dolby Digital sound,Audio,
.mpc,MusePack audio data,Audio,application/vnd.mophun.certificate
.xmz,Fasttracker 2 extended audio module,Audio,
.7,Salt Lake Winter Olympics 2002 music data,Audio,
.dvc,Dragon NaturallySpeaking voice command,Audio,
.dkd,Karaoke music,Audio,
.alc,Visual MP3 embedded dynamic lyrics,Audio,
.rad,Reality AdLib Tracker 2 audio data,Audio,
.mct,Musicator MIDI file,Audio,
.tsl,Cenix audio,Audio,
.rsf,LEGO MINDSTORMS robot sound,Audio,
.gog,Drumagog sample data,Audio,
.mz,Mozart compressed data,Audio,
.dtshd,DTS-HD master audio,Audio,audio/vnd.dts.hd
.mld,i-Melody format for i-Mode,Audio,
.myr,Myriad music sheet,Audio,
.architect,Soundweb London design,Audio,
.mpa,MPEG audio,Audio,video/mpeg
.vm1,Panasonic voice,Audio,
.wax,Windows Media Audio redirector,Audio,audio/x-ms-wax
.kam,Meragana karaoke data,Audio,
.nist,HTK NIST audio data,Audio,
.dmf,Delusion/Xtracker audio format,Audio,
.shn,Shorten compressed audio data,Audio,
.ckf,Casio Keyboard audio,Audio,
.son,Notator SL audio,Audio,
.uni,UniMOD/MikMOD music module,Audio,
.psf,Sony Playstation sound format,Audio,application/x-font-linux-psf
.sfr,Sonic Foundry sample resource file,Audio,
.s3p,AKAI MESA II/PC S-series program,Audio,
.efa,Ensoniq ASR instrument,Audio,
.mes,A2B Player file format,Audio,
.exs,Apple Logic EXS24 instrument data,Audio,
.pttune,PxTone audio data,Audio,
.ckb,Cricket Audio sound bank file,Audio,
.uvd,Yamaha Tyros4 audio data,Audio,
.tak,TAK lossless compressed audio,Audio,
.br27,BMW iDrive multimedia data,Audio,
.sdir,Apple Logic Space Designer impulse response data,Audio,
.ams,Velvet Studio module,Audio,
.bmw,BuzzPlay music with waves,Audio,
.cdda,Apple iTunes AIFF audio data,Audio,
.sd2f,Sound Designer 2 audio,Audio,
.la,La lossless compressed audio data,Audio,
.mfb,Ensoniq MR 76 audio data,Audio,
.wave,WAVe PCM sound,Audio,
.mss,Miles Sound System DLS 1 sound format,Audio,
.lso,Apple Logic song,Audio,
.psi,Psion A-law audio file,Audio,
.dig,Audio file,Audio,
.ly,LilyPond music score,Audio,
.ede,Ensoniq EPS disk image,Audio,
.its,Impulse Tracker sample,Audio,
.aria,Chipsounds audio data,Audio,
.tn7,Casio WK-3000 tone,Audio,
.vif,TomTom Navigator voices,Audio,
.xa,Sony PlayStation multimedia file,Audio,
.ibk,Sound Blaster FM instrument bank,Audio,
.adg,Ableton Live device group data,Audio,
.vyf,Samsung digital voice recorder file,Audio,
.wsx,SysEx Librarian data,Audio,
.dvw,Dektron Digital Voice Recorder audio data,Audio,
.bam,Bob's Adlib music file format,Audio,
.elp,HotRecorder proprietary audio data,Audio,
.mx5,Mixcraft 5 audio project,Audio,
.dx7,Yamaha DX-series raw audio data,Audio,
.d00,Adlib/Edlib sound,Audio,
.fzf,Casio FZ-1 full dump,Audio,
.aob,DVD Audio Object data,Audio,
.cwb,Sonar project archive file,Audio,
.ptb,Power Tab guitar tablature,Audio,
.afc,Compressed audio interchange file format,Audio,
.ftc,WavePad audio data,Audio,application/vnd.fluxtime.clip
.dpdoc,Digital Performer project,Audio,
.svx,Sound (Amiga 8SVX format),Audio,
.w64,Sonic Foundry Wave-64 format,Audio,
.rmp,RealAudio audio metadata,Audio,audio/x-pn-realaudio-plugin
.vy3,Samsung digital voice recorder format,Audio,
.mff,Cakewalk MIDI format,Audio,
.mp3a,Renamed MP3 audio,Audio,
.vbk,CallPilot audio,Audio,
.gbs,Nintendo Game Boy music audio data,Audio,
.nfm8,Native Instruments KOMPLETE FM8 sound,Audio,
.aa3,Sony ATRAC audio,Audio,
.w02,Yamaha cat audio sample,Audio,
.rma,RealMedia audio data,Audio,
.puma,Pumatraker data,Audio,
.xi,Fastracker 2.0 instrument,Audio,
.mo3,MO3 MOD audio format,Audio,
.dau,Express Dictate dictate record,Audio,
.amxd,Max for Live project,Audio,
.enf,Musitek SmartScore Extended Notation Format,Audio,
.orc,CSound Orchestra midi audio,Audio,
.sbg,SBaGen binaural beat data,Audio,
.kma,Video Hoster karaoke data,Audio,
.iff,Amiga Interchange File format,Audio,
.tks,Traktor Pro MIDI map,Audio,
.amz,Amazon MP3 Downloader data,Audio,
.mgb,Paragon5 Gameboy Tracker audio,Audio,
.vgm,Video Game Music file,Audio,
.x3a,MOTIF XF data,Audio,
.voxal,Voxal Voice Changer project file,Audio,
.vst,VST audio plug-in,Audio,application/vnd.visio
.abc,Musical notation language file,Audio,
.stmp,Apple Soundtrack Pro project,Audio,
.my,Audio data,Audio,
.plm,DisorderTracker2 module,Audio,
.kin,Cakewalk Kinetic music project,Audio,
.dsd,Direct Stream Digital audio,Audio,
.rfl,Reason sound bank,Audio,
.sps,StoneTracker audio,Audio,
.adts,Audio Data Transport Stream,Audio,
.drx,DaVinci Resolve eXchange data,Audio,
.arl,Aureal Aspen audio bank,Audio,
.odd,Coby voice recorder format,Audio,
.zax,Zaxcom audio data,Audio,
.s48,Jutel RadioMan MPEG2 audio,Audio,
.sc2,Sample Cell II PC/Mac instrument,Audio,
.koz,Sprint Music Store music data,Audio,
.esu,LokSound Electronic Sound File,Audio,
.bnk,Spotify playlist,Audio,
.alaw,A-law G.711 European telephony data,Audio,
.mmjproject,MAGIX Music Maker jam project,Audio,
.s3m,Scream Tracker v3 module,Audio,
.vmo,Siemens SL45 mobile phone voice record,Audio,
.xm,FastTracker 2 instrument module,Audio,
.mx4,Mixcraft 4 audio,Audio,
.mp1,"MPEG Audio Stream, Layer I",Audio,
.nst,NoiseTracker music module,Audio,
.lam,Netscape Media Player streaming audio metafile,Audio,
.eop,EveryonePiano music score,Audio,
.st3,Star 3 MIDI karaoke data,Audio,
.669,8 channels MOD 669 module,Audio,
.truehd,Dolby TrueHD audio,Audio,
.cvs,CVS and VMS sound (continuous variable slope),Audio,
.w03,Yamaha pig audio sample,Audio,
.sri,Dragon NaturallySpeaking audio data,Audio,
.efe,Ensoniq EPS instrument file,Audio,
.rsn,Propellerhead Reason audio data,Audio,
.ptx,Pro Tools session,Audio,image/x-pentax-pef
.mjf,Mjuice MP3 audio file,Audio,
.$ri,Steinberg Cubase compressed audio data,Audio,
.acid,Sony ACID Pro project,Audio,
.sd2,Sound Designer 2 audio data,Audio,
.dro,DOSBox Raw OPL format,Audio,
.da,Sony PlayStation CD-DA format,Audio,
.rol,AdLib Visual Composer music data,Audio,
.mk1,Karaoke audio data,Audio,
.sg4,Band-in-a-Box song file,Audio,
.eda,Ensoniq ASR disk image,Audio,
.dm1,Desktop Music Software score file,Audio,
.xvag,Sony PlayStation 3 audio,Audio,
.mx1,coucoucircus.org audio temporary data,Audio,
.rhl,EdgeSounds RatHole compressed audio file,Audio,
.ahx,WinAHX tracker module,Audio,
.krz,Kurzweil 2000 sample file,Audio,application/x-krita
.alw,A-law G.711 European telephony format,Audio,
.oga,Ogg Vorbis audio,Audio,audio/ogg
.ad3,ADPCM 3-bit compressed voice,Audio,
.isb,Vanguard music data,Audio,
.rf64,Winamp RIFF64 broadcast wave format,Audio,
.niff,Notation Interchange File Format,Audio,
.n3a,Panasonic security camera recorded audio,Audio,
.swv,Yamaha Sweet! voices sound data,Audio,
.br29,BMW iDrive multimedia data,Audio,
.lms,Light-O-Rama musical sequence,Audio,
.dat,Sony Digital Audio Tape,Audio,
.rmx,RealMedia secure media clip,Audio,
.mf3,Ensoniq MR-76 audio data,Audio,
.aif,Audio Interchange Format audio,Audio,audio/aiff
.hh,HammerHead drumloop,Audio,text/x-c
.qcp,Qualcomm PureVoice QCELP recorder and player voice,Audio,
.sbm,Hello Network HelloCombined Media Player file format,Audio,
.xwma,xWMA audio compression format,Audio,
.m2s,MPEG-2 video stream,Audio,
.psb,Pinnacle sound bank,Audio,application/vnd.3gpp.pic-bw-small
.zaf,Zoom Audio data,Audio,
.dr8,DR-008 drumkit,Audio,
.npr,Nuendo file,Audio,
.sdat,Nintendo DS sound data,Audio,
.rso,LEGO NXT brick audio data,Audio,
.vy4,Samsung voice codec file,Audio,
.hsb,HALion sampler data,Audio,
.nxt,NeXTSTEP sound format,Audio,
.atp,Sony music format,Audio,
.sa1,Panasonic AAC data,Audio,
.tvn,Yamaha Tyros 2 voice,Audio,
.dmse,Roxio Sound Editor project,Audio,
._02,Soundtrack compressed data,Audio,
.pno,Microsoft Windows 8 Piano song,Audio,
.gdm,"Bells, Whistles, and Sound Boards module",Audio,
.w07,Yamaha elephant audio sample,Audio,
.cs3,Casio WK-1800 Keyboard output file,Audio,
.w01,Yamaha dog audio sample,Audio,
.wfd,Turtle Beach WaveFront drum set format,Audio,
.fc4,AMIGA Futur-Composer module,Audio,
.m3a,Enhanced M3U playlist,Audio,audio/mpeg
.g723,Raw CCITT/ITU G.723 ADPCM sound format,Audio,
.mus,Doom music file,Audio,application/vnd.musician
.mv3,Audio data,Audio,
.xt,FastTracker music track file,Audio,
.afs,Sega Dreamcast compressed audio,Audio,
.vgz,Video Game Music compressed data,Audio,
.sag,Sagem ringtone format,Audio,
.zik,Cryo ZIK audio data,Audio,
.alac,Apple Lossless Audio Codec encoded audio track,Audio,
.emb,Everest embedded bank file,Audio,
.exb,Creative Emulator X audio,Audio,
.e2ev,Korg Electribe event recorder pattern,Audio,
.lvp,Avaya Voice Player compressed voice audio,Audio,audio/vnd.lucent.voice
.ad2,ADPCM 2-bit compressed voice,Audio,
.smfmf,Audio data,Audio,
.nbkt,Native Instruments BATTERY audio data,Audio,
.vqf,TwinVQ audio data,Audio,
.rhp,Encore file format,Audio,
.iti,Impulse Tracker instrument,Audio,
.w06,Yamaha lion audio sample,Audio,
.dmptrn,Fruity Loops Studio pattern,Audio,
.ast,Audio stream,Audio,
.laa,LucasArts AdLib audio file format,Audio,
.mww,Music Works data,Audio,
.ay,Audio Overload project,Audio,
.rgp,Rosegarden project file,Audio,
.mus,SCORE Music publishing system music notation,Audio,application/vnd.musician
.mwk,MusicWrite music score file,Audio,
.sg2,Band-in-a-Box audio,Audio,
.minibank,Mini V data,Audio,
.ea,EarAche audio,Audio,
.sqt,Technics SX-KN6000 multiple sequence data,Audio,
.aifc,Audio Interchange File Format sound file with compression,Audio,audio/x-aiff
.rmj,RealAudio media,Audio,
.sn,Sound Club editor compressed song,Audio,
.s,AKAI S1000/S1100/S01 sample,Audio,text/x-asm
.dra,Dragon NaturallySpeaking voice,Audio,
.akai,Akai S-series floppy disk image,Audio,
.es,ECHOSPEECH data,Audio,
.nsla,Nero Video audio data,Audio,
.vig,Audio data,Audio,
.bwf,Broadcast wave file format,Audio,
.mp3g,WinCDG Pro MP3+G Karaoke file,Audio,
.toc,Sony Playstation Portable sound file,Audio,
.a3s,Yamaha A3000 sample,Audio,
.m3v,DJ Mix Pro playlist,Audio,
.edk,Ensoniq KT disk image,Audio,
.mg2,Band-in-a-Box song file,Audio,
.mkf,Karabox music,Audio,
.dma,DMOD audio data,Audio,
.omx,OtsAV media library information,Audio,
.gym,Sega Genesis music logged data,Audio,
.sxt,Propellerheads Reason 2 NN-XT sound data,Audio,
.w7a,Yamaha Motif ES format,Audio,
.vox,Adobe Audition wave sound,Audio,application/x-authorware-bin
.aupreset,Apple Logic Studio preset file,Audio,
.lme,LegglessMusicEditor sound,Audio,
.xsz,ZynAddSubFX standalone scale data,Audio,
.stz,Screamtracker 2 module,Audio,
.eol,Digital Winds audio,Audio,audio/vnd.digital-winds
.gi!,GigaSampler/GigaStudio split audio,Audio,
.s,AKAI S900/950 sample,Audio,text/x-asm
.bn,AdLib instrument bank,Audio,
.edv,Ensoniq VFX-SD disk image,Audio,
.aud,DTS sound data stream file format,Audio,
.z00,Casio WK Midi keyboards audio file,Audio,
.ssdl,Sonicfire Pro music,Audio,
.all,Steinberg Cubase song,Audio,
.evx,EVO record data,Audio,
.rta,IBM Voice Type languages vocabulary,Audio,
.mia,MusicIndiaOnline Trident Player music,Audio,
.cmo,Spanish Whiz sound,Audio,
.jpg,JPEG bitmap image,Bitmap,image/pjpeg
.png,Portable Network Graphic file,Bitmap,image/png
.jpg-large,Twitter / X large JPEG picture,Bitmap,
.heic,High Efficiency Image Format,Bitmap,image/heic
.jpg_128x96,Android picture,Bitmap,
.psd,Adobe Photoshop graphics,Bitmap,image/vnd.adobe.photoshop
.jpg_160x120,Android picture image,Bitmap,
.jpeg,JPEG bitmap image format,Bitmap,image/pjpeg
.avif,AV1 Image File Format,Bitmap,image/avif
.sai2,Paint Tool SAI version 2 drawing,Bitmap,
.jpg_320x240,Android picture,Bitmap,
.pic,Picture image,Bitmap,image/x-pict
.cam,Casio QV digital CAMera image,Bitmap,
.gif,Graphics interchange file format,Bitmap,image/gif
.ecw,Enhanced Compressed Wavelet image format,Bitmap,
.dcm,Dicom medicine image file format,Bitmap,
.jpg_160x128,Android picture,Bitmap,
.bmp,Standard Windows bitmap image,Bitmap,image/bmp
.webp,Google image file format,Bitmap,image/webp
.jpg!d,PxHere picture image,Bitmap,
.qmg,Samsung theme picture image - qmage file format,Bitmap,
.jp2,JPEG 2000 (ISO 15444-1) picture,Bitmap,
.mix,Microsoft PhotoDraw image,Bitmap,
.cpt,Corel PHOTO-PAINT bitmap image,Bitmap,application/mac-compactpro
.snag,SnagIt captured image,Bitmap,
.cal,CALS Raster image,Bitmap,
.igo,Instagram JPEG picture image,Bitmap,
.tiff,Aldus Tagged Image File Format (TIFF) bitmap image,Bitmap,image/tiff
.raw,Digital camera photo RAW image format,Bitmap,image/x-panasonic-raw
.thumb,JAlbum thumbnail,Bitmap,
.pdn,Paint.NET picture format,Bitmap,
.exr,OpenEXR Image Format,Bitmap,
.png-large,TweetDeck png image,Bitmap,
.dds,DirectDraw surface data,Bitmap,
.jpg-original,JPEG picture image,Bitmap,
.tn3,Tiny bitmap image,Bitmap,
.gif~c200,Graphics Interchange Format file,Bitmap,
.im,SunOS grey scale bitmap picture,Bitmap,
.jpg,CompactDRAW e-JPG graphic,Bitmap,image/pjpeg
.jpg_240x320,Android picture image,Bitmap,
.tif,Aldus Tagged Image File Format (TIFF) bitmap image,Bitmap,image/tiff
