Extension,Metadata,Category,MIME Type
.par,Dedicated Micros DVR recording,Video,
.tridefmovie,TriDef movie,Video,
.cam,Camtasia Studio project,Video,
.biz,ShowBiz project,Video,
.stk,HyperStudio stacks file,Video,application/hyperstudio
.cak,FILM/CPK file format,Video,
.mvf,Production Studio video,Video,
.gfp,GreenForce-Player audio or video data,Video,
.riox,Rioplay encrypted video (version 2021),Video,
.rvx,RealNetworks protected video,Video,
.px,Photodex Producer streaming video,Video,
.vmm,Microsoft 3D Movie Maker video data,Video,
.rec_part3,Walker File Format,Video,
.mp2v,MPEG video,Video,
.nvavi,Split AVI Audio video interchange format,Video,
.arcut,Adobe Prelude rough cut data,Video,
.trn,NSME Trains screensaver,Video,
.bs4,Mikogo session video recording data,Video,
.mv1,Video file,Video,
.olproj,Adobe OnLocation project,Video,
.xlmv,Thunder Mall video data,Video,
.mhg,Multimedia data,Video,
.ppp,CyberLink PowerProducer project file,Video,
.mnv,Sony PlayStation 3 movie,Video,
.vgx,VGuard H.264 video data,Video,
.d2v,DGIndex project,Video,
.clk,ClickView video,Video,
.dvdmedia,RipIt DVD backup,Video,
.crv,IPcam video format,Video,
.buy,Movie,Video,
.jts,JVC Cyberlink AVCHD video data,Video,
.qmx,Quantum Streaming video,Video,
.vcpf,Easy Video Copy & Convert project,Video,
.m21,MPEG-21 video data,Video,
.qvt,Quantum Streaming video stream url data,Video,
.dvsd,DVMaster Pro video file,Video,
.asdvdcrtproj,Aimersoft DVD Creator project,Video,
.h261,H.261 video format,Video,video/h261
.tdt2,Panasonic HD video camera movie file,Video,
.tv,Samsung digital TV receiver video,Video,
.vp7,TrueMotion VP7 video,Video,
.3ivx,3ivx video data,Video,
.vcv,ViewCave video data,Video,
.qcif,QCIF RAW video format,Video,
.grasp,Graphical System for Presentation animation data,Video,
.avr,MPEG-2 transport stream,Video,
.siv,Silicon Imaging video file,Video,
.ivr,RealPlayer Internet video recording data,Video,
.mpj,Video Edit Magic project,Video,
.dv-avi,Microsoft DV-AVI video data,Video,
.mp3,"Compressed audio and music file, mp3 songs or ringtones",Audio,audio/mpeg
.waptt,WhatsApp Messenger voicemail recording,Audio,
.wfp,Turtle Beach WaveFront audio data,Audio,
.cda,CD Audio track,Audio,
.i3pack,i3pack audio,Audio,
.sesx,Adobe Audition audio session,Audio,
.rec,Recorded data,Audio,
.3ga,Audio file for wireless networks,Audio,audio/mp4
.wem,Wwise Encoded Media audio,Audio,
.mpdp,MixPad project,Audio,
.opus,Opus audio data,Audio,audio/opus
.wpl,Microsoft Windows Media Player playlist,Audio,application/vnd.ms-wpl
.flac,Audio files encoded by Flac - free lossless audio codec,Audio,audio/flac
.mus,Finale music file format,Audio,application/vnd.musician
.ocdf,OneClickDigital mp3 audio book,Audio,
.sib,Sibelius music notation,Audio,
.nmf,NICE Media Player audio,Audio,
.midi,MIDI-sequention sound,Audio,audio/midi
.wav,"WAVe PCM Sound, standard Windows sound format",Audio,audio/vnd.wav
.sf2,Creative Labs SoundFont 2.0 sound bank,Audio,
.mscz,MuseScore compressed music score sheet,Audio,
.vdjsample,VirtualDJ audio sample,Audio,
.zab,Zipped audio book,Audio,
.fsb,FMOD audio,Audio,
.2ch,Super Audio CD track,Audio,
.pcm,PCM audio data file,Audio,
.amr,Adaptive Multi-Rate compressed audio,Audio,
.trm,Court record audio format,Audio,application/x-msterminal
.2,Saltlake city game music data,Audio,
.br25,BMW iDrive multimedia data,Audio,
.gp5,Guitar Pro 5 project,Audio,
.arf,WebEx advanced record file,Audio,
.sng,Audio or song,Audio,
.avr,Audio Visual Research sound file,Audio,
.ds2,Olympus Digital Speech Standard recorded audio,Audio,
.slx,SpectraLayers Pro audio project,Audio,
.wv,WavPack lossless compressed audio,Audio,
.aax,Audible enhanced audio data,Audio,
.m4a,MPEG-4 compressed audio,Audio,audio/mp4
.nvf,Creative Labs Nomad recorded voice,Audio,
.dcf,DRM content format delivery data,Audio,
.xkr,Sing Magic karaoke song,Audio,
.ogg,Ogg Vorbis audio,Audio,audio/ogg
.fls,Adobe Flash Lite sound bundle,Audio,
.plp,Sandisk Sansa playlist,Audio,
.aac,Advanced audio coding stream file,Audio,audio/aac
.ses,Adobe Audition session data,Audio,
.band,GarageBand music project,Audio,
.musx,Finale notation,Audio,
.dss,Olympus Digital Speech Standard,Audio,
.ap4,Kids&Us Talking Pen audio,Audio,
.sdx,Audio sample,Audio,
.nwc,Noteworthy Composer song,Audio,
.mid,MIDI audio,Audio,audio/midi
.mxl,Compressed MusicXML music notation file,Audio,application/vnd.recordare.musicxml
.nki,Native Instruments instruments sample,Audio,
.bnk,Adlib instrument audio bank,Audio,
.vce,Yamaha normal voice file,Audio,
.br28,BMW iDrive multimedia data,Audio,
.aup,Audacity project,Audio,
.fnf,Forte notation file,Audio,
.dvf,Sony DV voice data,Audio,
.vox,ADPCM Dialogic sound data,Audio,application/x-authorware-bin
.dwp,DarkWave Studio project,Audio,
.thd,Dolby TrueHD audio data,Audio,
.eac3,Dolby Digital Plus audio track,Audio,
.sty,Yamaha general style data,Audio,
.rpp,REAPER project,Audio,
.alb,Steinberg Cubase or VST backup song,Audio,
.ac7,Casio electronic keyboard rhythm data,Audio,
.uax,Unreal audio package,Audio,
.wma,Windows Media Audio file,Audio,audio/x-ms-wma
.acd,ACID Pro audio project,Audio,
.vdj,VirtualDJ audio sample,Audio,
.xpak,XLN audio package,Audio,
.wpp,WavePad audio project,Audio,
.xsb,XACT sound bank,Audio,
.wrf,WebEx recorded video,Audio,
.mogg,Multitrack digital audio format,Audio,
.snd,Sound data,Audio,audio/basic
.ram,Real Audio metafile,Audio,audio/x-pn-realaudio
.ad4,4D Systems audio data,Audio,
.fst,FL Studio saved state,Audio,image/vnd.fst
.zvr,Philips Voicetracer recorded voice,Audio,
.moi,JVC Everio information data,Audio,
.flm,FL Studio Mobile song,Audio,
.aa,Audible audio,Audio,
.raw,RAW audio format,Audio,image/x-panasonic-raw
.seq,Sony Playstation MIDI sequence,Audio,
.asf,Advanced Systems (streaming) format,Audio,video/x-ms-asf
.au,Unix audio sound file format,Audio,audio/basic
.cdfs,Compact Disc File System,Audio,
.kar,MIDI Karaoke song,Audio,audio/midi
.8svx,Amiga 8-bit sound,Audio,
.gpx,Guitar Pro 6 format,Audio,
.smp,Audio data,Audio,
.br5,BMW iDrive multimedia data,Audio,
.rtm,Real Tracker music module (MOD),Audio,
.elastik,Elastik engine sound bank,Audio,
.sbk,Creative Labs EMU SoundFont v1 bank,Audio,
.ulaw,Raw CCITT/ITU G.711 US telephony audio format,Audio,
.gp4,Guitar Pro 4 project,Audio,
