Description,Extension,Category,MIME type,,,,,
Portable Media player 7 data,.mp7,Video,application/octet-stream,,,,,
Autodesk Animator FLIC animation old format,.fli_,Video,application/octet-stream,,,,,
Qarbon Viewlet,.viewlet,Video,application/octet-stream,,,,,
LZA video data,.lza,Video,application/octet-stream,,,,,
Sealed Flash data,.ssw,Video,application/octet-stream,,,,,
IBM HotMedia multimedia data,.mvr,Video,video/mp4,,,,,
MPEG-4 video data,.mp4v,Video,application/octet-stream,,,,,
Race-Keeper video,.rki,Video,application/octet-stream,,,,,
Autopano Video Pro video,.kava,Video,application/vnd.adobe.premiere.project,,,,,
Adobe Premiere Pro project,.pproj,Video,video/x-drc,,,,,
Dirac video format,.drc,Video,application/ogg,,,,,
Ogg Vorbis multiplex profile,.ogx,Video,application/octet-stream,,,,,
MultiMedia Movie format (RIFF RMMP),.mmm,Video,application/octet-stream,,,,,
GEX MP3 satellite receiver saved data,.xmm,Video,application/octet-stream,,,,,
Dedicated Micros DVR recording,.par,Video,application/octet-stream,,,,,
TriDef movie,.tridefmovie,Video,video/x-cam,,,,,
Camtasia Studio project,.cam,Video,application/octet-stream,,,,,
ShowBiz project,.biz,Video,application/hyperstudio,,,,,
HyperStudio stacks file,.stk,Video,application/octet-stream,,,,,
FILM/CPK file format,.cak,Video,application/octet-stream,,,,,
Production Studio video,.mvf,Video,application/octet-stream,,,,,
GreenForce-Player audio or video data,.gfp,Video,application/octet-stream,,,,,
Rioplay encrypted video (version 2021),.riox,Video,application/octet-stream,,,,,
RealNetworks protected video,.rvx,Video,application/octet-stream,,,,,
Photodex Producer streaming video,.px,Video,application/octet-stream,,,,,
Microsoft 3D Movie Maker video data,.vmm,Video,application/octet-stream,,,,,
Walker File Format,.rec_part3,Video,video/mpeg,,,,,
MPEG video,.mp2v,Video,application/octet-stream,,,,,
Split AVI Audio video interchange format,.nvavi,Video,application/octet-stream,,,,,
Adobe Prelude rough cut data,.arcut,Video,application/octet-stream,,,,,
NSME Trains screensaver,.trn,Video,application/octet-stream,,,,,
Mikogo session video recording data,.bs4,Video,application/octet-stream,,,,,
Video file,.mv1,Video,application/octet-stream,,,,,
Adobe OnLocation project,.olproj,Video,Unknown,,,,,
Thunder Mall video data,.xlmv,Video,Unknown,,,,,
Multimedia data,.mhg,Video,Unknown,,,,,
CyberLink PowerProducer project file,.ppp,Video,Unknown,,,,,
Sony PlayStation 3 movie,.mnv,Video,Unknown,,,,,
VGuard H.264 video data,.vgx,Video,Unknown,,,,,
DGIndex project,.d2v,Video,Unknown,,,,,
ClickView video,.clk,Video,Unknown,,,,,
RipIt DVD backup,.dvdmedia,Video,Unknown,,,,,
IPcam video format,.crv,Video,Unknown,,,,,
Movie,.buy,Video,Unknown,,,,,
JVC Cyberlink AVCHD video data,.jts,Video,Unknown,,,,,
Quantum Streaming video,.qmx,Video,Unknown,,,,,
Easy Video Copy & Convert project,.vcpf,Video,Unknown,,,,,
MPEG-21 video data,.m21,Video,Unknown,,,,,
Quantum Streaming video stream url data,.qvt,Video,Unknown,,,,,
DVMaster Pro video file,.dvsd,Video,Unknown,,,,,
Aimersoft DVD Creator project,.asdvdcrtproj,Video,video/h261,,,,,
H.261 video format,.h261,Video,Unknown,,,,,
Panasonic HD video camera movie file,.tdt2,Video,Unknown,,,,,
Samsung digital TV receiver video,.tv,Video,Unknown,,,,,
TrueMotion VP7 video,.vp7,Video,Unknown,,,,,
3ivx video data,.3ivx,Video,Unknown,,,,,
ViewCave video data,.vcv,Video,Unknown,,,,,
QCIF RAW video format,.qcif,Video,Unknown,,,,,
Graphical System for Presentation animation data,.grasp,Video,Unknown,,,,,
MPEG-2 transport stream,.avr,Video,Unknown,,,,,
Silicon Imaging video file,.siv,Video,Unknown,,,,,
RealPlayer Internet video recording data,.ivr,Video,Unknown,,,,,
Video Edit Magic project,.mpj,Video,Unknown,,,,,
Microsoft DV-AVI video data,.dv-avi,Audio,audio/mpeg,,,,,
"Compressed audio and music file, mp3 songs or ringtones",.mp3,Audio,Unknown,,,,,
WhatsApp Messenger voicemail recording,.waptt,Audio,Unknown,,,,,
Turtle Beach WaveFront audio data,.wfp,Audio,Unknown,,,,,
CD Audio track,.cda,Audio,Unknown,,,,,
i3pack audio,.i3pack,Audio,Unknown,,,,,
Adobe Audition audio session,.sesx,Audio,Unknown,,,,,
Recorded data,.rec,Audio,audio/mp4,,,,,
Audio file for wireless networks,.3ga,Audio,Unknown,,,,,
Wwise Encoded Media audio,.wem,Audio,Unknown,,,,,
MixPad project,.mpdp,Audio,audio/opus,,,,,
Opus audio data,.opus,Audio,application/vnd.ms-wpl,,,,,
Microsoft Windows Media Player playlist,.wpl,Audio,audio/flac,,,,,
Audio files encoded by Flac - free lossless audio codec,.flac,Audio,application/vnd.musician,,,,,
Finale music file format,.mus,Audio,Unknown,,,,,
OneClickDigital mp3 audio book,.ocdf,Audio,Unknown,,,,,
Sibelius music notation,.sib,Audio,Unknown,,,,,
NICE Media Player audio,.nmf,Audio,audio/midi,,,,,
MIDI-sequention sound,.midi,Audio,audio/vnd.wav,,,,,
"WAVe PCM Sound, standard Windows sound format",.wav,Audio,Unknown,,,,,
Creative Labs SoundFont 2.0 sound bank,.sf2,Audio,Unknown,,,,,
MuseScore compressed music score sheet,.mscz,Audio,Unknown,,,,,
VirtualDJ audio sample,.vdjsample,Audio,Unknown,,,,,
Zipped audio book,.zab,Audio,Unknown,,,,,
FMOD audio,.fsb,Audio,Unknown,,,,,
Super Audio CD track,.2ch,Audio,Unknown,,,,,
PCM audio data file,.pcm,Audio,Unknown,,,,,
Adaptive Multi-Rate compressed audio,.amr,Audio,application/x-msterminal,,,,,
Court record audio format,.trm,Audio,Unknown,,,,,
Saltlake city game music data,0.2,Audio,Unknown,,,,,
BMW iDrive multimedia data,.br25,Audio,Unknown,,,,,
Guitar Pro 5 project,.gp5,Audio,Unknown,,,,,
WebEx advanced record file,.arf,Audio,Unknown,,,,,
Audio or song,.sng,Audio,Unknown,,,,,
Audio Visual Research sound file,.avr,Audio,Unknown,,,,,
Olympus Digital Speech Standard recorded audio,.ds2,Audio,Unknown,,,,,
SpectraLayers Pro audio project,.slx,Audio,Unknown,,,,,
WavPack lossless compressed audio,.wv,Audio,Unknown,,,,,
Audible enhanced audio data,.aax,Audio,audio/mp4,,,,,
MPEG-4 compressed audio,.m4a,Audio,Unknown,,,,,
Creative Labs Nomad recorded voice,.nvf,Audio,Unknown,,,,,
DRM content format delivery data,.dcf,Audio,Unknown,,,,,
Sing Magic karaoke song,.xkr,Audio,audio/ogg,,,,,
Ogg Vorbis audio,.ogg,Audio,Unknown,,,,,
Adobe Flash Lite sound bundle,.fls,Audio,Unknown,,,,,
Sandisk Sansa playlist,.plp,Audio,audio/aac,,,,,
Advanced audio coding stream file,.aac,Audio,Unknown,,,,,
Adobe Audition session data,.ses,Audio,Unknown,,,,,
GarageBand music project,.band,Audio,Unknown,,,,,
Finale notation,.musx,Audio,Unknown,,,,,
Olympus Digital Speech Standard,.dss,Audio,Unknown,,,,,
Kids&Us Talking Pen audio,.ap4,Audio,Unknown,,,,,
Audio sample,.sdx,Audio,Unknown,,,,,
Noteworthy Composer song,.nwc,Audio,audio/midi,,,,,
MIDI audio,.mid,Audio,application/vnd.recordare.musicxml,,,,,
Compressed MusicXML music notation file,.mxl,Audio,Unknown,,,,,
Native Instruments instruments sample,.nki,Audio,Unknown,,,,,
Adlib instrument audio bank,.bnk,Audio,Unknown,,,,,
Yamaha normal voice file,.vce,Audio,Unknown,,,,,
BMW iDrive multimedia data,.br28,Audio,Unknown,,,,,
Audacity project,.aup,Audio,Unknown,,,,,
Forte notation file,.fnf,Audio,Unknown,,,,,
Sony DV voice data,.dvf,Audio,application/x-authorware-bin,,,,,
ADPCM Dialogic sound data,.vox,Audio,Unknown,,,,,
DarkWave Studio project,.dwp,Audio,Unknown,,,,,
Dolby TrueHD audio data,.thd,Audio,Unknown,,,,,
Dolby Digital Plus audio track,.eac3,Audio,Unknown,,,,,
Yamaha general style data,.sty,Audio,Unknown,,,,,
REAPER project,.rpp,Audio,Unknown,,,,,
Steinberg Cubase or VST backup song,.alb,Audio,Unknown,,,,,
Casio electronic keyboard rhythm data,.ac7,Audio,Unknown,,,,,
Unreal audio package,.uax,Audio,audio/x-ms-wma,,,,,
Windows Media Audio file,.wma,Audio,Unknown,,,,,
ACID Pro audio project,.acd,Audio,Unknown,,,,,
VirtualDJ audio sample,.vdj,Audio,Unknown,,,,,
XLN audio package,.xpak,Audio,Unknown,,,,,
WavePad audio project,.wpp,Audio,Unknown,,,,,
XACT sound bank,.xsb,Audio,Unknown,,,,,
WebEx recorded video,.wrf,Audio,Unknown,,,,,
Multitrack digital audio format,.mogg,Audio,audio/basic,,,,,
Sound data,.snd,Audio,audio/x-pn-realaudio,,,,,
Real Audio metafile,.ram,Audio,Unknown,,,,,
4D Systems audio data,.ad4,Audio,image/vnd.fst,,,,,
FL Studio saved state,.fst,Audio,Unknown,,,,,
Philips Voicetracer recorded voice,.zvr,Audio,Unknown,,,,,
JVC Everio information data,.moi,Audio,Unknown,,,,,
FL Studio Mobile song,.flm,Audio,Unknown,,,,,
Audible audio,.aa,Audio,image/x-panasonic-raw,,,,,
RAW audio format,.raw,Audio,Unknown,,,,,
Sony Playstation MIDI sequence,.seq,Audio,video/x-ms-asf,,,,,
Advanced Systems (streaming) format,.asf,Audio,audio/basic,,,,,
Unix audio sound file format,.au,Audio,Unknown,,,,,
Compact Disc File System,.cdfs,Audio,audio/midi,,,,,
MIDI Karaoke song,.kar,Audio,Unknown,,,,,
Amiga 8-bit sound,.8svx,Audio,Unknown,,,,,
Guitar Pro 6 format,.gpx,Audio,Unknown,,,,,
Audio data,.smp,Audio,Unknown,,,,,
BMW iDrive multimedia data,.br5,Audio,Unknown,,,,,
Real Tracker music module (MOD),.rtm,Audio,Unknown,,,,,
Elastik engine sound bank,.elastik,Audio,Unknown,,,,,
Creative Labs EMU SoundFont v1 bank,.sbk,Audio,Unknown,,,,,
Raw CCITT/ITU G.711 US telephony audio format,.ulaw,Audio,Unknown,,,,,
Guitar Pro 4 project,.gp4,Audio,Unknown,,,,,
BMW iDrive multimedia data,.br4,Audio,application/vnd.stardivision.math,,,,,
Standard MIDI file format,.smf,Audio,Unknown,,,,,
DART Karaoke Studio lyrics,.cdg,Audio,Unknown,,,,,
XACT wave bank data,.xwb,Audio,Unknown,,,,,
Nord audio keyboards sample,.nsmp,Audio,video/x-ms-asf,,,,,
Microsoft Advanced Streaming Redirector,.asx,Audio,Unknown,,,,,
MIDI sample sound (DUMP standard file),.sds,Audio,Unknown,,,,,
Multak Mini 8162 encoded audio karaoke,.muk,Audio,Unknown,,,,,
Call ot Duty: Black Ops sound archive,.sabs,Audio,Unknown,,,,,
Salt Lake Winter Olympics 2002 music data,0.1,Audio,application/vnd.svd,,,,,
Roland Fantom audio,.svd,Audio,audio/ogg,,,,,
Speex encoded audio,.spx,Audio,Unknown,,,,,
Hit’n’Mix audio format,.rip,Audio,Unknown,,,,,
n-Track Studio packed song,.sgw,Audio,Unknown,,,,,
Native Instruments MASSIVE audio data file,.nmsv,Audio,Unknown,,,,,
Independence instrument file,.ytif,Audio,Unknown,,,,,
Native Instruments Stems audio,.stem.mp4,Audio,Unknown,,,,,
Open Media Framework file,.omf,Audio,Unknown,,,,,
MAGIX Music Maker audio arrangement data,.mmm,Audio,Unknown,,,,,
Anghami audio,.ang,Audio,Unknown,,,,,
Korg Trinity sample file,.ksf,Audio,Unknown,,,,,
Sony Memory Stick compressed voice file,.msv,Audio,Unknown,,,,,
Apple Logic Pro music project,.logic,Audio,Unknown,,,,,
AJP Player video,.ajp,Audio,Unknown,,,,,
DirectMusic Producer DLS data,.dlp,Audio,Unknown,,,,,
Band-in-a-Box MIDI song,.mgu,Audio,Unknown,,,,,
Salt Lake Winter Olympics 2002 music data,0.16,Audio,Unknown,,,,,
Sony OpenMG music format,.oma,Audio,Unknown,,,,,
Korg Trinity audio,.kmp,Audio,Unknown,,,,,
Recorded audio data,.record,Audio,Unknown,,,,,
Miles Sound System extended MIDI audio,.xmi,Audio,Unknown,,,,,
Hydrogen drum notes,.h2song,Audio,Unknown,,,,,
Roland S-550/S-50/W-30 disk image,.sdk,Audio,Unknown,,,,,
ZX Audio file format,.azx,Audio,audio/aiff,,,,,
Audio Interchange File Format,.aiff,Audio,Unknown,,,,,
Mobile phone sound,.mp_,Audio,Unknown,,,,,
Linux MultiMedia Studio project,.mmpz,Audio,Unknown,,,,,
Virtual Sampler audio bank,.vsb,Audio,Unknown,,,,,
Roland Keyboard midi sequence file,.svq,Audio,audio/mp4,,,,,
Apple iPhone ringtone format,.m4r,Audio,Unknown,,,,,
GigaSampler/GigaStudio audio data,.gig,Audio,Unknown,,,,,
Computerized Speech Lab audio speech format,.nsp,Audio,Unknown,,,,,
Adobe Premiere conformed audio,.cpa,Audio,Unknown,,,,,
ACM compressed sound,.acm,Audio,Unknown,,,,,
Apple Core Audio Format,.caf,Audio,Unknown,,,,,
IRCAM / MTU SoundFile format,.sf,Audio,Unknown,,,,,
Entropic sound data format,.sd,Audio,Unknown,,,,,
Music album,.abm,Audio,Unknown,,,,,
Native Instruments Stems audio data,.stem,Audio,Unknown,,,,,
Game sounds or other audio data,.audio,Audio,audio/mp4,,,,,
MPEG-4 MP4A audio,.mp4a,Audio,Unknown,,,,,
Guitar Pro project,.gtp,Audio,Unknown,,,,,
Creative Labs sound data,.voc,Audio,Unknown,,,,,
Muon DS404 bank,0.404,Audio,Unknown,,,,,
ReCycle! audio loop file,.rx2,Audio,audio/x-matroska,,,,,
Matroska audio,.mka,Audio,audio/mp4,,,,,
Apple iTunes Music Store audio,.m4p,Audio,Unknown,,,,,
Linux MultiMedia Studio instrument preset,.xpf,Audio,Unknown,,,,,
ReCycle audio loop,.rex,Audio,Unknown,,,,,
AudioNote data,.audionote,Audio,Unknown,,,,,
Delusion/XTracker digital sample,.dsf,Audio,Unknown,,,,,
DownLoadable sound,.dls,Audio,Unknown,,,,,
AVM Sample Studio bank file,.apex,Audio,Unknown,,,,,
Audio files encoded by Flac - free lossless audio codec,.fla,Audio,Unknown,,,,,
Yamaha Tyros audio,.uvn,Audio,Unknown,,,,,
NICE Media Player audio,.aud,Audio,Unknown,,,,,
Sony Playstation/PS2 compressed sound,.vag,Audio,Unknown,,,,,
Reason audio project,.rns,Audio,application/vnd.fsc.weblaunch,,,,,
FruityLoops score,.fsc,Audio,Unknown,,,,,
Creative Labs FM-synthesis music file,.cmf,Audio,Unknown,,,,,
GSM sound,.gsm,Audio,Unknown,,,,,
Need for Speed Underground audio data,.abk,Audio,Unknown,,,,,
SoundFont compressed audio,.sfz,Audio,Unknown,,,,,
Advanced Authoring Format,.aaf,Audio,Unknown,,,,,
MixMeister Studio playlist,.mmp,Audio,Unknown,,,,,
Band-in-a-Box midi song,.sgu,Audio,Unknown,,,,,
Zebra preset,.h2p,Audio,audio/webm,,,,,
Zoom Player WebM audio,.weba,Audio,Unknown,,,,,
Minecraft Note Block Studio audio,.nbs,Audio,Unknown,,,,,
Sony MiniDisc audio file,.hma,Audio,Unknown,,,,,
Farandole Composer WaveSample music format,.fsm,Audio,Unknown,,,,,
SoundStage sound data,.sfd,Audio,Unknown,,,,,
Monkey's Audio lossless audio compression format,.ape,Audio,Unknown,,,,,
KaraFun karaoke song,.kfn,Audio,Unknown,,,,,
Call ot Duty: Black Ops audio library,.sabl,Audio,Unknown,,,,,
BioWare music unit,.bmu,Audio,Unknown,,,,,
Crescendo music score,.cdo,Audio,Unknown,,,,,
Cakewalk Sonar audio project,.cwp,Audio,Unknown,,,,,
RTTTL / Nokring mobile ring-tone format,.rtttl,Audio,Unknown,,,,,
Musicnotes digital music sheet,.mtd,Audio,Unknown,,,,,
HSC tracker 2-op FM music data,.hsc,Audio,Unknown,,,,,
Audio file,.nak,Audio,application/x-director,,,,,
Adobe Shockwave music data,.swa,Audio,Unknown,,,,,
Recomposer MIDI sequencer music data,.rcp,Audio,Unknown,,,,,
FL studio saved track,.flp,Audio,Unknown,,,,,
Apple Logic Pro X project,.logicx,Audio,Unknown,,,,,
16-bit audio sound raw signed PCM data,.sw,Audio,Unknown,,,,,
Karaoke Midi file,.krx,Audio,audio/mp4,,,,,
MPEG-4 Audio Layer audio book,.m4b,Audio,Unknown,,,,,
Impulse Tracker music module,.itz,Audio,Unknown,,,,,
Raw CCITT/ITU G.726 ADPCM sound data,.g726,Audio,Unknown,,,,,
Melody Machine compressed SoundFont file,.sfark,Audio,Unknown,,,,,
Cakewalk music project,.wrk,Audio,Unknown,,,,,
Mixcraft 6 audio,.mx6,Audio,audio/x-pn-realaudio,,,,,
RealAudio audio,.ra,Audio,Unknown,,,,,
Transport Tycoon game music,.gm,Audio,Unknown,,,,,
Cenix audio,.tsh,Audio,Unknown,,,,,
Personal Composer musical notation,.pc,Audio,Unknown,,,,,
Vocaloid audio sequence,.vsq,Audio,Unknown,,,,,
Overture music score,.ove,Audio,Unknown,,,,,
Ableton Live project,.als,Audio,Unknown,,,,,
GUITAR RIG sound,.ngrr,Audio,Unknown,,,,,
ScreamTracker song format,.sts,Audio,Unknown,,,,,
MuseScore music score,.mscx,Audio,Unknown,,,,,
AY-3-8910 audio data,.ym,Audio,Unknown,,,,,
System 7 sound,.song,Audio,Unknown,,,,,
Dolby Digital AC3 audio,.ec3,Audio,Unknown,,,,,
VOCALOID Editor project,.vsqx,Audio,Unknown,,,,,
SNES BRR (Bit Rate Reduction) audio data,.brr,Audio,Unknown,,,,,
iRock digital voice recorder audio data,.bvf,Audio,Unknown,,,,,
Drumaxx file,.dmkit,Audio,Unknown,,,,,
Fruity Loops Studio patch,.dmpatch,Audio,application/x-iso9660-image,,,,,
RAW CD-format audio,.cdr,Audio,Unknown,,,,,
OpenTL Open track list file,.tl,Audio,Unknown,,,,,
Digitrakker audio module,.dtm,Audio,Unknown,,,,,
Cubase Drum map setup file,.drm,Audio,Unknown,,,,,
Apogee IMF audio file format,.imf,Audio,Unknown,,,,,
dps Velocity split audio,.dva,Audio,Unknown,,,,,
Bagpipe Music Writer music notation,.bww,Audio,Unknown,,,,,
Dolby Digital sound,.ac3,Audio,application/vnd.mophun.certificate,,,,,
MusePack audio data,.mpc,Audio,Unknown,,,,,
Fasttracker 2 extended audio module,.xmz,Audio,Unknown,,,,,
Salt Lake Winter Olympics 2002 music data,0.7,Audio,Unknown,,,,,
Dragon NaturallySpeaking voice command,.dvc,Audio,Unknown,,,,,
Karaoke music,.dkd,Audio,Unknown,,,,,
Visual MP3 embedded dynamic lyrics,.alc,Audio,Unknown,,,,,
Reality AdLib Tracker 2 audio data,.rad,Audio,Unknown,,,,,
Musicator MIDI file,.mct,Audio,Unknown,,,,,
Cenix audio,.tsl,Audio,Unknown,,,,,
LEGO MINDSTORMS robot sound,.rsf,Audio,Unknown,,,,,
Drumagog sample data,.gog,Audio,Unknown,,,,,
Mozart compressed data,.mz,Audio,audio/vnd.dts.hd,,,,,
DTS-HD master audio,.dtshd,Audio,Unknown,,,,,
i-Melody format for i-Mode,.mld,Audio,Unknown,,,,,
Myriad music sheet,.myr,Audio,Unknown,,,,,
Soundweb London design,.architect,Audio,video/mpeg,,,,,
MPEG audio,.mpa,Audio,Unknown,,,,,
Panasonic voice,.vm1,Audio,audio/x-ms-wax,,,,,
Windows Media Audio redirector,.wax,Audio,Unknown,,,,,
Meragana karaoke data,.kam,Audio,Unknown,,,,,
HTK NIST audio data,.nist,Audio,Unknown,,,,,
Delusion/Xtracker audio format,.dmf,Audio,Unknown,,,,,
Shorten compressed audio data,.shn,Audio,Unknown,,,,,
Casio Keyboard audio,.ckf,Audio,Unknown,,,,,
Notator SL audio,.son,Audio,Unknown,,,,,
UniMOD/MikMOD music module,.uni,Audio,application/x-font-linux-psf,,,,,
Sony Playstation sound format,.psf,Audio,Unknown,,,,,
Sonic Foundry sample resource file,.sfr,Audio,Unknown,,,,,
AKAI MESA II/PC S-series program,.s3p,Audio,Unknown,,,,,
Ensoniq ASR instrument,.efa,Audio,Unknown,,,,,
A2B Player file format,.mes,Audio,Unknown,,,,,
